idCategoria|Categoría|horarios|idEstablecimiento
296|2 Estrellas|Lunes a Viernes 08h30 a 17h30|22505
297|TERCERA|Lunes a Viernes 08h30 a 17h30|22506
298|TERCERA|Lunes a viernes de 08:00 a 18:00|22507
299|TERCERA|Lunes a viernes de 08:00 a 18:00|22508
300|(3) Tres tenedores|Lunes a Viernes 08h30 a 17h30|22509
301|TERCERA|Lunes a Viernes 08h30 a 17h30|22510
302|(3) Tres copas|Lunes a Viernes 08h30 a 17h30|22511
303|2 Estrellas|Lunes a Viernes 08h30 a 17h30|22512
304|2 Estrellas|Lunes a Viernes 08h30 a 17h30|22513
305|TERCERA|Lunes a Viernes 08h30 a 17h30|22514
306|4 Estrellas|Lunes a viernes de 08:00 a 18:00|22515
307|TERCERA|Lunes a Viernes 08h30 a 17h30|22516
308|1 Estrellas|Lunes a viernes de 08:00 a 18:00|22517
309|2 Estrellas|Lunes a Viernes 08h30 a 17h30|22518
310|(2) Dos tenedores|Lunes a Viernes 08h30 a 17h30|22519
311|TERCERA / 2 TENEDORES|Lunes a Viernes 08h30 a 17h30|22520
312|3 Estrellas|Lunes a Viernes 08h30 a 17h30|22521
313|1 Estrellas|Lunes a Viernes 08h30 a 17h30|22522
314|TERCERA|Lunes a Viernes 08h30 a 17h30|22523
315|SEGUNDA|Lunes a Viernes 08h30 a 17h30|22524
316|3 Estrellas|Lunes a Viernes 08h30 a 17h30|22525
317|Categoría única|Lunes a Viernes 08h30 a 17h30|22526
318|SEGUNDA|Lunes a Viernes 08h30 a 17h30|22527
319|(1) Un tenedor|Lunes a Viernes 08h30 a 17h30|22528
320|TERCERA|Lunes a Viernes 08h30 a 17h30|22529
321|TERCERA|Lunes a Viernes 08h30 a 17h30|22530
322|CUARTA|Lunes a Viernes 08h30 a 17h30|22531
323|TERCERA|Lunes a Viernes 08h30 a 17h30|22532
324|SEGUNDA|Lunes a Viernes 08h30 a 17h30|22533
325|TERCERA|Lunes a Viernes 08h30 a 17h30|22534
326|PRIMERA|Lunes a Viernes 08h30 a 17h30|22535
327|SEGUNDA|Lunes a Viernes 08h30 a 17h30|22536
328|TERCERA|Lunes a Viernes 08h30 a 17h30|22537
329|2 Estrellas|Lunes a Viernes 08h30 a 17h30|22538
330|(1) Un tenedor|Lunes a Viernes 08h30 a 17h30|22539
331|TERCERA|Lunes a Viernes 08h30 a 17h30|22540
332|(1) Un tenedor|Lunes a viernes de 08:00 a 18:00|22541
333|(2) Dos tenedores|Lunes a viernes de 08:00 a 18:00|22542
334|(1) Una tazas|Lunes a viernes de 08:00 a 18:00|22543
335|(2) Dos tenedores|Lunes a viernes de 08:00 a 18:00|22544
336|(1) Una taza|Lunes a Viernes 08h30 a 17h30|22545
337|3 Estrellas|Lunes a Viernes 08h30 a 17h30|22546
338|2 Estrellas|Lunes a viernes de 08:00 a 18:00|22547
339|PRIMERA|Lunes a Viernes 08h30 a 17h30|22548
340|SEGUNDA|Lunes a Viernes 08h30 a 17h30|22549
341|PRIMERA|Lunes a Viernes 08h30 a 17h30|22550
342|PRIMERA|Lunes a Viernes 08h30 a 17h30|22551
343|(1) Un tenedor|Lunes a Viernes 08h30 a 17h30|22552
344|2 Estrellas|lunes y jueves desde las 12:00 hasta la 01:00, viernes y sabados desde las 12:00 hasta las 04:00, domingos desde las 12:00 hasta las 20:00|22553
345|TERCERA|Lunes a viernes de 08:00 a 18:00|22554
346|(2) Dos tenedores|Lunes a viernes de 08:00 a 18:00|22555
347|TERCERA|Lunes a domingo 24 horas|22556
348|1 Estrellas|Lunes a viernes 06:00 a 20:00|22557
349|TERCERA|Lunes a viernes 06:00 a 20:00|22558
350|2 Estrellas|lunes y jueves desde las 12:00 hasta la 01:00, viernes y sabados desde las 12:00 hasta las 04:00, domingos desde las 12:00 hasta las 20:00|22559
351|(1) Un tenedor|Lunes a Domingo 24 horas|22560
352|TERCERA|Lunes a Domingo 24 horas|22561
353|2 Estrellas|lunes y jueves desde las 12:00 hasta la 01:00, viernes y sabados desde las 12:00 hasta las 04:00, domingos desde las 12:00 hasta las 20:00|22562
354|(1) Una taza|Lunes a domingo 24 horas|22563
355|2 Estrellas|Lunes a domingo 24 horas|22564
356|SEGUNDA|Lunes a Domingo 24 horas|22565
357|TERCERA|Lunes a sabado de 08:00 a22:00|22566
358|TERCERA|Lunes a sabado de 08:00 a22:00|22567
359|3 Estrellas|Lunes a Viernes 08h30 a 17h00|22568
360|LUJO|Lunes a Domingo 24 horas|22569
361|(1) Una tazas|Lunes a sabado de 08:00 a22:00|22570
362|CUARTA|Lunes a viernes 06:00 a 20:00|22571
363|SEGUNDA|Lunes a Viernes 08h30 a 17h00|22572
364|TERCERA|Lunes a domingo 24 horas|22573
365|3 Estrellas|Lunes a domingo 24 horas|22574
366|3 Estrellas|Lunes a viernes de 08:00 a 18:00|22575
367|TERCERA|Lunes a viernes de 08:00 a 18:00|22576
368|2 Estrellas|Lunes a domingo 24 horas|22577
369|Categoría única|Lunes a Viernes 08h30 a 17h30|22578
370|TERCERA|Lunes a sabado de 08:00 a22:00|22579
371|2 Estrellas|lunes y jueves desde las 12:00 hasta la 01:00, viernes y sabados desde las 12:00 hasta las 04:00, domingos desde las 12:00 hasta las 20:00|22580
372|CUARTA|Lunes a sabado de 08:00 a22:00|22581
373|CUARTA|Lunes a domingo 24 horas|22582
374|SEGUNDA|Lunes a viernes de 08:00 a 18:00|22583
375|PRIMERA|Lunes a domingo 24 horas|22584
376|PRIMERA|Lunes a domingo 24 horas|22585
377|SEGUNDA|Lunes a domingo 24 horas|22586
378|TERCERA|Lunes a Domingo 24 horas|22587
379|2 Estrellas|Lunes a Domingo 24 horas|22588
380|TERCERA|Lunes a Viernes 08h30 a 17h30|22589
381|1 Estrellas|Lunes a domingo 24 horas|22590
382|SEGUNDA|Lunes a Viernes 08h30 a 17h30|22591
383|TERCERA|Lunes a Domingo 24 horas|22592
384|(2) Dos copas|Lunes a Domingo 24 horas|22593
385|(2) Dos tazas|Lunes a sabado de 08:00 a22:00|22594
386|TERCERA|Lunes a Domingo 24 horas|22595
387|3 Estrellas|Lunes a domingo 24 horas|22596
388|Categoría única|Lunes a viernes 06:00 a 20:00|22597
389|1 Estrellas|Lunes a sabado de 08:00 a22:00|22598
390|Categoría única|Lunes a sabado de 08:00 a22:00|22599
391|1 Estrellas|Lunes a sabado de 08:00 a22:00|22600
